"year","title","category","slug","url","eventId","marketCount","liquidity","volume","volume24hr","commentCount","startDate","endDate","createdAt","updatedAt","active","closed"
"2026","Oscars 2026: Best Actor Winner","Best Actor","oscars-2026-best-actor-winner","https://polymarket.com/event/oscars-2026-best-actor-winner","50282","42","252988.88683","7474805.518373983","551262.3880279999","127","2025-09-26T21:51:58.18841Z","2026-03-15T00:00:00Z","2025-09-26T16:07:40.54007Z","2026-03-13T02:03:55.898682Z","True","False"
"2026","Oscars 2026: Best Actress Winner","Best Actress","oscars-2026-best-actress-winner","https://polymarket.com/event/oscars-2026-best-actress-winner","50298","42","310075.6712","1797053.4704259988","138822.931435","12","2025-09-29T19:08:02.631156Z","2026-03-15T00:00:00Z","2025-09-26T17:16:08.818407Z","2026-03-13T01:59:38.38157Z","True","False"
"2026","Oscars 2026: Best Adapted Screenplay Winner","Best Adapted Screenplay","oscars-2026-best-adapted-screenplay-winner","https://polymarket.com/event/oscars-2026-best-adapted-screenplay-winner","50323","42","87500.09042","616276.6787530001","29061.742144000003","0","2025-09-29T19:08:02.619908Z","2026-03-15T00:00:00Z","2025-09-26T18:04:57.227466Z","2026-03-13T02:03:57.956436Z","True","False"
"2026","Oscars 2026: Best Animated Feature Film Winner","Best Animated Feature Film","oscars-2026-best-animated-feature-film-winner","https://polymarket.com/event/oscars-2026-best-animated-feature-film-winner","181332","21","46622.842","443182.20473799994","29473.569184999997","3","2026-01-22T22:19:22.375828Z","2026-03-15T00:00:00Z","2026-01-22T15:30:55.697579Z","2026-03-13T02:04:00.311016Z","True","False"
"2026","Oscars 2026: Best Animated Short Film Winner","Best Animated Short Film","oscars-2026-best-animated-short-film-winner","https://polymarket.com/event/oscars-2026-best-animated-short-film-winner","181354","21","17046.78452","87248.60469899996","4682.840262000001","1","2026-01-22T22:15:56.316785Z","2026-03-15T00:00:00Z","2026-01-22T15:47:46.591709Z","2026-03-13T01:59:37.492002Z","True","False"
"2026","Oscars 2026: Best Casting Winner","Best Casting","oscars-2026-best-casting-winner","https://polymarket.com/event/oscars-2026-best-casting-winner","181327","17","25399.48847","118405.50100799995","17199.638726","0","2026-01-22T22:19:18.539726Z","2026-03-15T00:00:00Z","2026-01-22T15:25:17.757274Z","2026-03-13T02:03:58.858759Z","True","False"
"2026","Oscars 2026: Best Cinematography Winner","Best Cinematography","oscars-2026-best-cinematography-winner","https://polymarket.com/event/oscars-2026-best-cinematography-winner","50390","42","101902.81197","1890264.5240350005","127890.86540399998","9","2025-09-29T18:20:04.957657Z","2026-03-15T00:00:00Z","2025-09-26T20:54:19.909994Z","2026-03-13T02:03:57.730951Z","True","False"
"2026","Oscars 2026: Best Costume Design Winner","Best Costume Design","oscars-2026-best-costume-design-winner","https://polymarket.com/event/oscars-2026-best-costume-design-winner","50402","42","32890.85082","436938.52297699987","12782.056590000002","-1","2025-09-29T18:20:04.940873Z","2026-03-15T00:00:00Z","2025-09-26T21:24:05.050343Z","2026-03-13T01:59:38.156187Z","True","False"
"2026","Oscars 2026: Best Director Winner","Best Director","oscars-2026-best-director-winner","https://polymarket.com/event/oscars-2026-best-director-winner","50386","42","116639.82018","4960629.41848","85964.22701199999","8","2025-09-29T19:08:02.634655Z","2026-03-15T00:00:00Z","2025-09-26T20:46:04.69814Z","2026-03-13T02:04:02.836953Z","True","False"
"2026","Oscars 2026: Best Documentary Feature Film Winner","Best Documentary Feature Film","oscars-2026-best-documentary-feature-film-winner","https://polymarket.com/event/oscars-2026-best-documentary-feature-film-winner","181346","17","17004.55494","84564.51168400003","5156.06577","5","2026-01-22T22:19:22.363289Z","2026-03-15T00:00:00Z","2026-01-22T15:40:13.066967Z","2026-03-13T02:03:57.881573Z","True","False"
"2026","Oscars 2026: Best Documentary Short Film Winner","Best Documentary Short Film","oscars-2026-best-documentary-short-film-winner-513","https://polymarket.com/event/oscars-2026-best-documentary-short-film-winner-513","181353","17","12271.71844","48610.677571000015","3657.2127119999996","0","2026-01-22T22:19:22.361945Z","2026-03-15T00:00:00Z","2026-01-22T15:43:59.367582Z","2026-03-13T01:59:39.530432Z","True","False"
"2026","Oscars 2026: Best Film Editing Winner","Best Film Editing","oscars-2026-best-film-editing-winner","https://polymarket.com/event/oscars-2026-best-film-editing-winner","50389","42","39874.26498","777032.7230879997","15971.195588","0","2025-09-29T18:35:44.888551Z","2026-03-15T00:00:00Z","2025-09-26T20:50:02.330349Z","2026-03-13T01:59:38.308716Z","True","False"
"2026","Oscars 2026: Best International Feature Film Winner","Best International Feature Film","oscars-2026-best-international-feature-film-winner","https://polymarket.com/event/oscars-2026-best-international-feature-film-winner","181337","17","30000.24371","357915.02869200043","32850.332559","10","2026-01-22T22:19:22.36986Z","2026-03-15T00:00:00Z","2026-01-22T15:35:58.397112Z","2026-03-13T02:04:00.108056Z","True","False"
"2026","Oscars 2026: Best Live Action Short Film Winner","Best Live Action Short Film","oscars-2026-best-live-action-short-film-winner","https://polymarket.com/event/oscars-2026-best-live-action-short-film-winner","181359","17","14170.94383","78408.027707","2773.911915","0","2026-01-22T22:15:56.315042Z","2026-03-15T00:00:00Z","2026-01-22T15:51:10.49721Z","2026-03-13T02:03:57.767693Z","True","False"
"2026","Oscars 2026: Best Makeup and Hairstyling Winner","Best Makeup and Hairstyling","oscars-2026-best-makeup-and-hairstyling-winner","https://polymarket.com/event/oscars-2026-best-makeup-and-hairstyling-winner","50403","42","34238.77977","377663.6510309999","20492.143141","-1","2025-09-29T17:55:38.023405Z","2026-03-15T00:00:00Z","2025-09-26T21:31:41.258027Z","2026-03-13T01:59:38.776879Z","True","False"
"2026","Oscars 2026: Best Original Score Winner","Best Original Score","oscars-2026-best-original-score-winner","https://polymarket.com/event/oscars-2026-best-original-score-winner","181385","17","35605.30492","107685.57227699998","18465.983388","0","2026-01-22T21:57:46.766041Z","2026-03-15T00:00:00Z","2026-01-22T16:06:17.00974Z","2026-03-13T02:04:00.745998Z","True","False"
"2026","Oscars 2026: Best Original Screenplay Winner","Best Original Screenplay","oscars-2026-best-original-screenplay-winner","https://polymarket.com/event/oscars-2026-best-original-screenplay-winner","50308","42","64040.77838","487451.618408","57012.96443","0","2025-09-29T19:08:02.625052Z","2026-03-15T00:00:00Z","2025-09-26T17:58:56.102385Z","2026-03-13T02:03:58.147305Z","True","False"
"2026","Oscars 2026: Best Original Song Winner","Best Original Song","oscars-2026-best-original-song-winner-257","https://polymarket.com/event/oscars-2026-best-original-song-winner-257","181380","21","71560.84955","547503.7066829999","53824.943653","7","2026-01-22T21:57:46.766944Z","2026-03-15T00:00:00Z","2026-01-22T16:00:51.64283Z","2026-03-13T02:03:59.935737Z","True","False"
"2026","Oscars 2026: Best Picture Winner","Best Picture","oscars-2026-best-picture-winner","https://polymarket.com/event/oscars-2026-best-picture-winner","50251","42","1499435.24863","30663517.00715495","1477668.62995","146","2025-09-26T21:28:25.976429Z","2026-03-15T00:00:00Z","2025-09-26T15:57:20.404894Z","2026-03-13T01:59:40.267523Z","True","False"
"2026","Oscars 2026: Best Production Design Winner","Best Production Design","oscars-2026-best-production-design-winner","https://polymarket.com/event/oscars-2026-best-production-design-winner","50401","42","38696.57122","312454.699557","5475.685638999999","-1","2025-09-29T18:20:04.943507Z","2026-03-15T00:00:00Z","2025-09-26T21:20:49.774159Z","2026-03-13T02:03:58.003377Z","True","False"
"2026","Oscars 2026: Best Sound Winner","Best Sound","oscars-2026-best-sound-winner","https://polymarket.com/event/oscars-2026-best-sound-winner","181411","17","38688.82595","165649.314064","9713.814229","4","2026-01-22T21:53:37.572293Z","2026-03-15T00:00:00Z","2026-01-22T16:26:20.087331Z","2026-03-13T02:04:00.221811Z","True","False"
"2026","Oscars 2026: Best Supporting Actor Winner","Best Supporting Actor","oscars-2026-best-supporting-actor-winner","https://polymarket.com/event/oscars-2026-best-supporting-actor-winner","50294","42","66439.32056","4499748.6436009575","92962.235163","16","2025-09-26T21:51:58.216873Z","2026-03-15T00:00:00Z","2025-09-26T17:01:39.43349Z","2026-03-13T01:59:40.255458Z","True","False"
"2026","Oscars 2026: Best Supporting Actress Winner","Best Supporting Actress","oscars-2026-best-supporting-actress-winner","https://polymarket.com/event/oscars-2026-best-supporting-actress-winner","50301","42","93737.26169","2154905.7098139995","84204.781139","11","2025-09-26T21:51:58.244129Z","2026-03-15T00:00:00Z","2025-09-26T17:21:19.841553Z","2026-03-13T01:59:37.711498Z","True","False"
"2026","Oscars 2026: Best Visual Effects Winner","Best Visual Effects","oscars-2026-best-visual-effects-winner","https://polymarket.com/event/oscars-2026-best-visual-effects-winner","181416","17","39503.52864","70211.68340000001","13368.647832","0","2026-01-22T21:53:37.5714Z","2026-03-15T00:00:00Z","2026-01-22T16:29:46.388124Z","2026-03-13T01:59:39.724279Z","True","False"
